Site_name2,Site_name,Latitude,Longitude,Country,Max_date,Min_date,Type,Group,Hominin,Artifact_Class,Present,citation
Blombos,Blombos,-34.41666667,21.21666667,South Africa,90.4,73.7,Cave,45-99,MSA hominin,engraved,yes,Henshilwood et al. 2001
Blombos,Blombos,-34.41666667,21.21666667,South Africa,90.4,73.7,Cave,45-99,MSA hominin,engravedBone,yes,d'Errico & Henshilwood 2007
Blombos,Blombos,-34.41666667,21.21666667,South Africa,90.4,73.7,Cave,45-99,MSA hominin,engravedOchre,yes,Henshilwood et al. 2009
Blombos,Blombos,-34.41666667,21.21666667,South Africa,90.4,73.7,Cave,45-99,MSA hominin,ornamentation,yes,Henshilwood et al. 2001
Bocksteinschmiede,Bocksteinschmiede,48.55833,10.15611,Germany,n/a,n/a,Cave,NoDate,no,art,no,NA
Bocksteinschmiede,Bocksteinschmiede,48.55833,10.15611,Germany,n/a,n/a,Cave,NoDate,no,bone,no,NA
Bocksteinschmiede,Bocksteinschmiede,48.55833,10.15611,Germany,n/a,n/a,Cave,NoDate,no,engraved,no,NA
Bocksteinschmiede,Bocksteinschmiede,48.55833,10.15611,Germany,n/a,n/a,Cave,NoDate,no,engravedBone,no,NA
Bocksteinschmiede,Bocksteinschmiede,48.55833,10.15611,Germany,n/a,n/a,Cave,NoDate,no,engravedEggshell,no,NA
Bocksteinschmiede,Bocksteinschmiede,48.55833,10.15611,Germany,n/a,n/a,Cave,NoDate,no,engravedOchre,no,NA
Bocksteinschmiede,Bocksteinschmiede,48.55833,10.15611,Germany,n/a,n/a,Cave,NoDate,no,engravedStone,no,NA
Bocksteinschmiede,Bocksteinschmiede,48.55833,10.15611,Germany,n/a,n/a,Cave,NoDate,no,exotic,no,NA
Bocksteinschmiede,Bocksteinschmiede,48.55833,10.15611,Germany,n/a,n/a,Cave,NoDate,no,hafting,no,NA
Bocksteinschmiede,Bocksteinschmiede,48.55833,10.15611,Germany,n/a,n/a,Cave,NoDate,no,ochre,no,NA
